날짜,시가,고가,저가,종가,거래량,매수_기관합계,매수_기타법인,매수_개인,매수_외국인합계,매도_기관합계,매도_기타법인,매도_개인,매도_외국인합계,전체,predictable
2018-12-11,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2018-12-12,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2018-12-13,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2018-12-14,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2018-12-17,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2018-12-18,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2018-12-19,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2018-12-20,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2018-12-21,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2018-12-24,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2018-12-26,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2018-12-27,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2018-12-28,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-02,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-03,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-04,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-07,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-08,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-09,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-10,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-11,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-14,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-15,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-16,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-17,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-18,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-21,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-22,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-23,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-24,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-25,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-28,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-29,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-30,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-01-31,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-01,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-07,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-08,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-11,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-12,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-13,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-14,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-15,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-18,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-19,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-20,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-21,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-22,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-25,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-26,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-27,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-02-28,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-04,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-05,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-06,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-07,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-08,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-11,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-12,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-13,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-14,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-15,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-18,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-19,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-20,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-21,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-22,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-25,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-26,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-27,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-28,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-03-29,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-01,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-02,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-03,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-04,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-05,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-08,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-09,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-10,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-11,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-12,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-15,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-16,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-17,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-18,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-19,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-22,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-23,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-24,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-25,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-26,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-29,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-04-30,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-02,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-03,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-07,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-08,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-09,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-10,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-13,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-14,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-15,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-16,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-17,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-20,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-21,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-22,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-23,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-24,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-27,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-28,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-29,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-30,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-05-31,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-03,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-04,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-05,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-07,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-10,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-11,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-12,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-13,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-14,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-17,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-18,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-19,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-20,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-21,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-24,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-25,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-26,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-27,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-06-28,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-01,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-02,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-03,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-04,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-05,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-08,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-09,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-10,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-11,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-12,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-15,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-16,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-17,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-18,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-19,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-22,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-23,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-24,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-25,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-26,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-29,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-30,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-07-31,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-01,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-02,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-05,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-06,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-07,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-08,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-09,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-12,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-13,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-14,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-16,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-19,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-20,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-21,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-22,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
2019-08-23,1620.0,1620.0,1620.0,1620.0,1677.0,0.0,0.0,2787860.0,0.0,0.0,0.0,2787860.0,0.0,2787860.0,0
